Computer:Path
W11HFB-001:OU=Equipos,OU=Enfermeria,DC=HospitaFrancescBorjaDeGandia,DC=mylocal
W11HFB-002:OU=Equipos,OU=Enfermeria,DC=HospitaFrancescBorjaDeGandia,DC=mylocal
W11HFB-003:OU=Equipos,OU=Enfermeria,DC=HospitaFrancescBorjaDeGandia,DC=mylocal
W11HFB-004:OU=Equipos,OU=Enfermeria,DC=HospitaFrancescBorjaDeGandia,DC=mylocal
W11HFB-005:OU=Equipos,OU=Enfermeria,DC=HospitaFrancescBorjaDeGandia,DC=mylocal
UDHFB-001:OU=Equipos,OU=Alergologia,DC=HospitaFrancescBorjaDeGandia,DC=mylocal
UDHFB-002:OU=Equipos,OU=Alergologia,DC=HospitaFrancescBorjaDeGandia,DC=mylocal
UDHFB-003:OU=Equipos,OU=Alergologia,DC=HospitaFrancescBorjaDeGandia,DC=mylocal
UDHFB-004:OU=Equipos,OU=Alergologia,DC=HospitaFrancescBorjaDeGandia,DC=mylocal
UDHFB-005:OU=Equipos,OU=Alergologia,DC=HospitaFrancescBorjaDeGandia,DC=mylocal
UDHFB-006:OU=Equipos,OU=Informatica,DC=HospitaFrancescBorjaDeGandia,DC=mylocal
UDHFB-007:OU=Equipos,OU=Informatica,DC=HospitaFrancescBorjaDeGandia,DC=mylocal
UDHFB-008:OU=Equipos,OU=Informatica,DC=HospitaFrancescBorjaDeGandia,DC=mylocal
UDHFB-009:OU=Equipos,OU=Informatica,DC=HospitaFrancescBorjaDeGandia,DC=mylocal
UDHFB-010:OU=Equipos,OU=Informatica,DC=HospitaFrancescBorjaDeGandia,DC=mylocal
W11HFB-006:OU=Equipos,OU=CyP,DC=HospitaFrancescBorjaDeGandia,DC=mylocal
W11HFB-007:OU=Equipos,OU=CyP,DC=HospitaFrancescBorjaDeGandia,DC=mylocal
W11HFB-008:OU=Equipos,OU=CyP,DC=HospitaFrancescBorjaDeGandia,DC=mylocal
W11HFB-009:OU=Equipos,OU=CyP,DC=HospitaFrancescBorjaDeGandia,DC=mylocal
W11HFB-010:OU=Equipos,OU=CyP,DC=HospitaFrancescBorjaDeGandia,DC=mylocal
